Delay_Hours,Month,System Voltage,Consumer_Effected,System_Load (kW),Failure_Code,Location
0.33,January,LV,861,385,D1,Location 2
1.33,January,33kV,5847,877,A1,Location 1
0.33,January,LV,57,21,D1,Location 1
0.25,January,11kV,3,1320,C1,Location 2
0.23,January,11kV,7584,4800,C1,Location 1
0.02,January,11kV,6096,41750,C1,Location 1
0.5,January,LV,81,24,D1,Location 3
0.58,January,LV,56,9,D2,Location 6
0.58,January,LV,1,122,D1,Location 6
0.42,January,11kV,2766,2219,C1,Location 3
0.33,January,LV,171,94,D2,Location 4
0.58,January,LV,380,136,D1,Location 7
1.43,January,33kV,9555,1629,A1,Location 1
1.1,January,33kV,16865,3335,A1,Location 7
0.33,January,LV,68,21,D1,Location 7
0.5,January,11kV,133,142,C1,Location 7
2.92,January,11kV,259,59,C2,Location 4
0.37,January,33kV,20319,7638,A1,Location 1
0.17,January,33kV,11441,24935,A1,Location 3
0.35,January,33kV,2311,1277,A1,Location 3
0.22,January,33kV,26212,7959,A1,Location 3
0.43,January,33kV,9978,5712,A1,Location 3
0.47,January,33kV,13393,5166,A1,Location 3
0.28,January,33kV,5719,7014,A1,Location 3
0.47,January,33kV,16841,12436,A1,Location 6
1.77,January,33kV,20319,1597,A1,Location 1
0.1,January,33kV,11441,42390,A1,Location 3
0.2,January,33kV,2311,2235,A1,Location 3
0.02,January,33kV,5719,98200,A1,Location 3
0.08,January,33kV,9978,30700,A1,Location 3
0.08,January,33kV,20064,41213,A1,Location 1
0.13,January,33kV,5847,8977,A1,Location 1
0.5,January,11kV,1,72,C1,Location 2
0.5,January,11kV,3864,1456,C1,Location 1
0.33,January,LV,59,21,D1,Location 1
0.42,January,11kV,2766,2219,C1,Location 3
0.12,January,33kV,10389,33742,A1,Location 6
0.42,January,LV,172,136,D1,Location 1
0.05,January,33kV,10389,80980,A1,Location 6
0.75,January,LV,57,7,D2,Location 2
0.83,January,LV,77,13,D1,Location 2
0.45,January,LV,142,156,D2,Location 6
1.45,January,LV,143,24,D2,Location 7
0.08,January,33kV,20064,41213,A1,Location 1
0.05,January,33kV,11441,84780,A1,Location 3
0.1,January,11kV,2863,13430,B1,Location 7
0.1,January,11kV,4808,12540,B1,Location 7
0.18,January,11kV,6091,7322,B1,Location 7
0.18,January,11kV,4265,6756,B1,Location 7
0.03,January,11kV,4265,40533,B1,Location 7
0.03,January,11kV,6091,43933,B1,Location 7
0.03,January,11kV,4808,41800,B1,Location 7
0.03,January,11kV,2863,44767,B1,Location 7
0.07,January,33kV,14770,46900,A1,Location 2
0.5,January,LV,67,12,D1,Location 6
0.22,January,11kV,6961,5355,C1,Location 2
0.5,January,LV,13,4,D1,Location 4
0.4,January,11kV,6316,3885,C1,Location 3
0.4,January,11kV,6316,3885,C1,Location 3
2.77,January,11kV,633,28,C2,Location 3
7.92,January,LV,39,51,D2,Location 1
0.42,January,11kV,52,29,C1,Location 7
0.35,January,11kV,6961,3366,C1,Location 2
0.58,January,LV,60,12,D1,Location 3
0.27,January,11kV,3734,8081,C1,Location 4
0.25,January,11kV,2604,6800,C1,Location 4
0.05,January,11kV,1440,16780,C1,Location 5
0.5,January,LV,69,16,D1,Location 7
0.58,January,11kV,10248,2681,C1,Location 1
0.67,January,11kV,9570,1970,C1,Location 1
0.33,January,11kV,2766,2824,C1,Location 3
0.58,January,LV,127,153,D2,Location 2
0.67,January,LV,68,10,D2,Location 2
0.67,January,LV,127,133,D2,Location 2
0.25,January,LV,53,20,D1,Location 2
0.17,January,LV,173,159,D1,Location 5
0.87,January,11kV,534,118,C1,Location 3
0.5,January,11kV,5015,7092,C1,Location 7
0.07,January,11kV,1167,7929,B1,Location 7
0.07,January,11kV,5703,34771,B1,Location 7
0.07,January,11kV,8121,29443,B1,Location 5
0.92,January,11kV,3784,3048,C1,Location 7
0.12,January,33kV,16865,30567,A1,Location 7
0.75,January,LV,70,15,D2,Location 6
0.12,January,33kV,16865,30567,A1,Location 7
0.05,January,33kV,16865,73360,A1,Location 7
1.25,January,11kV,1224,434,C2,Location 2
0.5,January,11kV,855,918,B4,Location 7
0.17,January,11kV,855,2700,B4,Location 7
0.15,January,33kV,13393,16187,A1,Location 3
0.47,January,11kV,3633,913,C1,Location 1
0.08,January,33kV,22495,67600,A1,Location 7
0.08,January,33kV,4239,25938,A1,Location 4
0.08,January,33kV,19774,71338,A1,Location 4
0.08,January,33kV,9978,30700,A1,Location 3
0.08,January,33kV,13393,30350,A1,Location 3
0.08,January,33kV,20319,35325,A1,Location 1
0.8,January,11kV,856,424,B4,Location 5
1.35,January,LV,172,42,D1,Location 1
0.5,January,11kV,1472,600,C2,Location 1
0.58,January,LV,237,121,D2,Location 3
0.33,January,LV,1,36,D1,Location 7
0.02,January,11kV,1151,82250,C1,Location 2
0.32,January,11kV,6961,3681,C1,Location 2
0.47,January,LV,172,74,D2,Location 7
0.92,January,LV,65,8,D2,Location 6
0.55,January,11kV,5587,1284,C1,Location 1
0.23,January,11kV,3308,1691,C1,Location 1
0.72,January,33kV,19774,7926,A1,Location 4
0.17,January,33kV,11441,24935,A1,Location 3
0.17,January,33kV,2311,2629,A1,Location 3
0.12,January,33kV,20319,23550,A1,Location 1
0.07,January,33kV,13393,34686,A1,Location 3
0.08,January,33kV,9978,30700,A1,Location 3
0.1,January,33kV,26212,17510,A1,Location 3
1.12,January,33kV,19950,5421,A5,Location 7
1.05,January,33kV,20319,2691,A5,Location 1
1,January,33kV,11087,3517,A5,Location 2
1.05,January,33kV,16841,5567,A5,Location 6
1.05,January,33kV,22495,5150,A5,Location 7
1.03,January,33kV,20757,3183,A5,Location 7
1.22,January,33kV,16865,3007,A5,Location 7
1.08,January,33kV,10507,3969,A5,Location 7
1,January,33kV,13393,2428,A5,Location 3
1,January,33kV,9978,2456,A5,Location 3
1.03,January,33kV,19774,5541,A5,Location 4
1.08,January,33kV,22495,5007,A5,Location 7
1.13,January,33kV,10820,4372,A5,Location 2
1.02,January,33kV,26212,1717,A5,Location 3
1.03,January,33kV,5719,1907,A5,Location 3
1.15,January,33kV,2311,389,A5,Location 3
1,January,33kV,10389,4049,A5,Location 6
1.03,January,33kV,12951,4252,A5,Location 6
1.03,January,33kV,2365,1793,A5,Location 6
1.47,January,33kV,5847,794,A5,Location 1
0.97,January,33kV,11087,3626,A5,Location 2
1,January,33kV,18937,4913,A5,Location 6
0.87,January,33kV,11588,7376,A5,Location 6
0.87,January,33kV,9945,3531,A5,Location 4
0.3,January,33kV,22495,18027,A5,Location 7
0.32,January,33kV,19950,18972,A5,Location 7
0.33,January,11kV,117,115,C1,Location 2
0.92,January,11kV,438,62,C1,Location 6
0.15,January,11kV,1151,10967,C1,Location 2
0.82,January,LV,1,215,D1,Location 1
0.17,January,LV,1,1035,D1,Location 1
1.55,January,33kV,20319,1823,A5,Location 1
0.27,January,33kV,19774,21137,A1,Location 4
0.27,January,33kV,17726,15707,A1,Location 4
0.27,January,33kV,4239,7685,A1,Location 4
0.38,January,33kV,26212,4608,A1,Location 3
0.38,January,33kV,5719,5168,A1,Location 3
1.42,January,33kV,16841,4116,A5,Location 6
1.43,January,33kV,19950,4245,A5,Location 7
1.5,January,33kV,11087,2345,A5,Location 2
1.4,January,33kV,22495,3863,A5,Location 7
1.8,January,LV,69,4,D2,Location 5
2,January,11kV,855,230,B4,Location 7
0.35,January,11kV,863,840,C2,Location 4
0.63,January,11kV,3439,1100,C2,Location 5
2.25,January,11kV,697,51,C1,Location 7
2.28,January,11kV,2324,172,B4,Location 5
0.05,January,33kV,20064,65940,A1,Location 1
3,January,11kV,667,69,B4,Location 2
2.47,January,33kV,16841,2366,A1,Location 6
1.15,January,11kV,515,85,B4,Location 2
0.48,January,11kV,5857,3710,C1,Location 5
0.58,January,11kV,440,360,C1,Location 5
0.08,January,11kV,882,9250,C1,Location 5
0.03,January,11kV,5857,59367,C1,Location 5
0.65,January,11kV,882,1138,C1,Location 5
0.12,January,11kV,5857,14842,C1,Location 5
0.8,January,11kV,882,925,C1,Location 5
0.12,January,11kV,5857,14842,C1,Location 5
0.37,January,11kV,882,2000,C1,Location 5
0.03,January,11kV,2846,16633,B4,Location 2
0.5,January,LV,71,22,D1,Location 7
1.9,January,LV,77,6,D1,Location 6
10.5,January,LV,77,1,D1,Location 6
0.17,January,11kV,4455,3518,C1,Location 3
0.88,January,11kV,5703,2766,C1,Location 7
0.02,January,11kV,817,23450,C1,Location 7
0.02,January,11kV,1317,23450,C1,Location 7
0.05,January,11kV,5703,48680,C1,Location 7
0.55,January,11kV,817,853,C1,Location 7
0.63,January,11kV,1317,744,C1,Location 7
11.67,January,11kV,1,1,C1,Location 7
0.7,January,11kV,1847,1230,C1,Location 7
0.27,January,11kV,1847,3189,C1,Location 7
0.43,January,11kV,721,1188,C1,Location 7
0.02,January,11kV,1847,43050,C1,Location 7
0.12,January,11kV,721,4258,C1,Location 7
1.82,January,11kV,150,131,C1,Location 7
17.28,January,11kV,1,1,C1,Location 7
0.03,January,11kV,150,7967,C1,Location 7
0.03,January,11kV,1151,54833,C1,Location 2
0.83,January,LV,377,77,D2,Location 2
0.58,January,11kV,1511,269,C1,Location 1
2.67,January,LV,1,79,D1,Location 2
2,January,11kV,2,106,C2,Location 2
0.02,January,11kV,5477,112650,C1,Location 2
0.5,January,11kV,2152,634,C1,Location 3
0.33,January,LV,304,136,D1,Location 2
0.28,January,33kV,13393,8671,A1,Location 3
0.28,January,33kV,9978,8771,A1,Location 3
0.25,January,33kV,26212,7004,A1,Location 3
0.08,January,33kV,5719,24550,A1,Location 3
0.17,January,LV,126,165,D2,Location 6
0.92,January,LV,73,10,D2,Location 6
0.37,January,LV,126,76,D2,Location 6
0.28,January,11kV,1857,1989,C1,Location 4
0.32,January,11kV,11527,5094,C1,Location 1
0.3,January,11kV,7894,4003,C1,Location 1
0.22,January,11kV,5640,4418,C1,Location 1
0.1,January,11kV,11527,16300,C1,Location 1
0.18,January,11kV,5640,5400,C1,Location 1
0.55,January,11kV,2396,518,C1,Location 1
0.12,January,11kV,280,617,C1,Location 1
0.33,January,LV,73,36,D2,Location 5
0.38,January,11kV,8283,2482,C1,Location 1
0.62,January,11kV,4650,829,C1,Location 1
0.13,January,11kV,2578,2685,C1,Location 1
0.22,January,11kV,8283,4286,C1,Location 1
0.12,January,11kV,6793,6075,C1,Location 1
0.2,January,11kV,4650,2570,C1,Location 1
0.35,January,11kV,2396,814,C1,Location 1
0.23,January,11kV,6792,10543,C1,Location 1
0.17,January,11kV,5470,6441,C1,Location 1
0.12,January,11kV,809,875,C1,Location 1
0.28,January,33kV,20064,11775,A1,Location 1
0.17,January,11kV,3864,4282,B1,Location 1
1.07,January,LV,181,47,D1,Location 1
0.02,January,33kV,10820,247000,A1,Location 2
0.07,January,11kV,6984,18971,B1,Location 7
0.08,January,11kV,7920,20675,B1,Location 7
0.03,January,11kV,856,11300,B1,Location 5
0.03,January,11kV,3541,72833,B1,Location 5
0.03,January,11kV,5019,66100,B1,Location 5
0.28,January,11kV,1525,4739,C1,Location 3
0.43,January,11kV,5857,4142,C1,Location 5
1.52,January,11kV,882,487,C1,Location 5
0.98,January,LV,54,5,D1,Location 2
0.25,January,LV,1,136,D1,Location 1
10.92,January,LV,54,0,D1,Location 2
0.08,January,11kV,7161,20888,C1,Location 6
0.58,January,11kV,201,59,C1,Location 6
0.23,January,LV,158,409,D2,Location 5
0.02,January,11kV,6267,67950,C1,Location 6
0.83,January,LV,365,100,D2,Location 2
0.03,January,11kV,5998,36800,B1,Location 2
0.37,January,11kV,2846,1349,B1,Location 2
0.02,January,11kV,1681,15050,B1,Location 2
0.18,January,11kV,12485,10467,C1,Location 1
0.18,January,33kV,20319,15700,A1,Location 1
0.63,January,11kV,6602,1332,C1,Location 1
0.1,January,11kV,4348,6100,C1,Location 1
0.58,January,LV,75,19,D1,Location 4
0.08,January,11kV,2232,3663,C1,Location 1
0.05,January,33kV,20319,56520,A1,Location 1
0.28,January,11kV,12485,6729,C1,Location 1
0.13,January,11kV,6602,6454,C1,Location 1
0.12,January,11kV,4348,5083,C1,Location 1
0.08,January,11kV,4348,7625,C1,Location 1
0.2,January,11kV,2232,1995,C1,Location 1
0.15,January,11kV,4202,6273,C1,Location 1
0.07,January,11kV,3244,9814,C1,Location 1
0.12,January,33kV,20064,27475,A1,Location 1
0.53,January,11kV,3996,1283,C1,Location 2
0.55,January,11kV,2591,722,C1,Location 2
0.35,January,11kV,7671,7420,B1,Location 7
0.23,January,11kV,7671,11291,B1,Location 7
2.75,January,LV,69,3,D1,Location 3
0.5,January,LV,76,24,D1,Location 6
0.03,January,11kV,3341,33833,B1,Location 1
0.03,January,11kV,8771,38833,B1,Location 1
2,January,11kV,3009,409,B1,Location 2
0.7,January,LV,424,107,D2,Location 2
0.2,January,LV,285,675,D2,Location 5
0.08,January,33kV,22495,67600,A1,Location 7
0.02,January,33kV,9945,153600,A1,Location 4
0.15,January,11kV,352,380,C1,Location 5
0.5,January,33kV,19774,11414,A1,Location 2
0.75,January,LV,250,112,D2,Location 7
0.08,January,11kV,3186,6163,B4,Location 1
0.25,January,11kV,3186,1972,B1,Location 1
0.02,January,11kV,4265,60800,C1,Location 7
0.02,January,11kV,4265,60800,C1,Location 7
0.02,January,11kV,4265,60800,C1,Location 7
0.28,January,11kV,2863,4796,C1,Location 7
0.38,January,11kV,6091,3468,C1,Location 7
0.02,January,11kV,6091,65900,C1,Location 7
0.02,January,11kV,6091,65900,C1,Location 7
0.1,January,11kV,4808,12540,B1,Location 7
2.1,January,33kV,10976,1479,A1,Location 2
2,January,11kV,3009,409,B4,Location 2
0.02,January,33kV,10820,247000,A1,Location 2
0.05,January,11kV,1151,32900,C1,Location 2
0.07,January,11kV,1151,23500,C1,Location 2
0.02,January,33kV,14770,164150,A1,Location 2
0.03,January,33kV,14770,109433,A1,Location 2
0.12,January,11kV,3996,5667,C1,Location 2
0.2,January,33kV,20064,16485,A1,Location 1
0.02,January,33kV,20064,164850,A1,Location 1
0.02,January,33kV,20064,164850,A1,Location 1
0.02,January,33kV,20064,164850,A1,Location 1
0.42,January,33kV,20319,6729,A1,Location 1
0.02,January,33kV,20319,141300,A1,Location 1
0.02,January,33kV,20319,141300,A1,Location 1
0.02,January,33kV,5847,58350,A1,Location 1
0.02,January,33kV,5847,58350,A1,Location 1
0.02,January,33kV,5847,58350,A1,Location 1
0.27,January,33kV,9555,8626,A1,Location 1
0.03,January,33kV,9555,77633,A1,Location 1
0.12,January,33kV,9555,19408,A1,Location 1
0.02,January,33kV,9555,116450,A1,Location 1
0.02,January,33kV,23422,419300,A1,Location 5
0.02,January,33kV,23422,419300,A1,Location 5
0.02,January,33kV,23422,419300,A1,Location 5
0.02,January,33kV,23422,419300,A1,Location 5
0.02,January,33kV,23422,419300,A1,Location 5
0.02,January,33kV,4239,103750,A1,Location 4
0.02,January,33kV,7067,112800,A1,Location 4
0.02,January,33kV,7067,112800,A1,Location 4
0.03,January,33kV,4239,69167,A1,Location 4
0.02,January,33kV,7067,112800,A1,Location 4
0.02,January,33kV,4239,103750,A1,Location 4
0.02,January,33kV,17726,212050,A1,Location 4
0.03,January,33kV,17726,141367,A1,Location 4
0.1,January,33kV,17726,42410,A1,Location 4
0.05,January,33kV,16865,73360,A1,Location 7
0.02,January,33kV,11087,175850,A1,Location 2
0.03,January,33kV,10976,103533,A1,Location 2
0.02,January,33kV,10976,155300,A1,Location 2
0.02,January,33kV,10976,155300,A1,Location 2
0.02,January,33kV,10976,155300,A1,Location 2
0.02,January,33kV,22495,270400,A1,Location 7
0.07,January,33kV,22495,77257,A1,Location 7
0.18,January,33kV,22495,30044,A1,Location 7
0.47,January,33kV,22495,11506,A1,Location 7
0.02,January,33kV,22495,270400,A1,Location 7
0.02,January,33kV,22495,270400,A1,Location 7
0.43,January,33kV,22495,12577,A1,Location 7
0.02,January,33kV,20757,163900,A1,Location 7
0.02,January,33kV,20757,163900,A1,Location 7
0.02,January,33kV,20757,163900,A1,Location 7
0.03,January,33kV,20757,109267,A1,Location 7
0.02,January,11kV,2309,66400,C1,Location 6
0.02,January,11kV,4337,82650,C1,Location 6
0.03,January,11kV,6300,56867,C1,Location 6
0.02,January,33kV,18937,245650,A1,Location 6
0.02,January,11kV,4456,62500,C1,Location 6
0.02,January,11kV,4456,62500,C1,Location 6
0.02,January,11kV,5923,61750,C1,Location 6
0.02,January,11kV,5923,61750,C1,Location 6
0.02,January,11kV,5923,61750,C1,Location 6
0.02,January,11kV,5923,61750,C1,Location 6
0.02,January,11kV,5923,61750,C1,Location 6
0.02,January,33kV,10389,202450,A1,Location 6
0.02,January,33kV,10389,202450,A1,Location 6
0.02,January,33kV,10389,202450,A1,Location 6
0.02,January,33kV,10389,202450,A1,Location 6
0.02,January,33kV,10389,202450,A1,Location 6
0.43,January,11kV,6267,3160,C1,Location 6
0.02,January,11kV,867,12350,C1,Location 6
0.02,January,11kV,6267,67950,C1,Location 6
0.02,January,11kV,6267,67950,C1,Location 6
0.02,January,11kV,6267,67950,C1,Location 6
0.02,January,11kV,8185,115700,C1,Location 6
0.02,January,11kV,8185,115700,C1,Location 6
0.02,January,11kV,8185,115700,C1,Location 6
0.17,January,33kV,16841,34382,A1,Location 6
0.08,January,33kV,16841,73063,A1,Location 6
0.03,January,33kV,16841,194833,A1,Location 6
0.05,January,33kV,16841,116900,A1,Location 6
0.03,January,33kV,16841,194833,A1,Location 6
0.02,January,11kV,5708,70100,C1,Location 6
0.02,January,11kV,5708,70100,C1,Location 6
0.02,January,11kV,5708,70100,C1,Location 6
0.03,January,11kV,5708,46733,C1,Location 6
0.02,January,11kV,5708,70100,C1,Location 6
0.02,January,11kV,5708,70100,C1,Location 6
0.02,January,11kV,5708,70100,C1,Location 6
0.02,January,11kV,5708,70100,C1,Location 6
0.03,January,11kV,7727,44933,C1,Location 6
0.02,January,11kV,7727,67400,C1,Location 6
0.02,January,33kV,9945,153600,A1,Location 4
0.02,January,33kV,9945,153600,A1,Location 4
0.02,January,33kV,9945,153600,A1,Location 4
0.02,January,33kV,11588,320850,A1,Location 6
0.02,January,33kV,12951,219000,A5,Location 6
2.38,January,33kV,12951,1840,A5,Location 6
0.02,January,33kV,12951,219000,A5,Location 6
0.02,January,33kV,12951,219000,A5,Location 6
0.07,January,33kV,13393,34686,A1,Location 3
0.13,January,33kV,13393,18677,A1,Location 3
0.07,January,33kV,13393,34686,A1,Location 3
0.17,January,33kV,13393,14282,A1,Location 3
0.08,January,33kV,13393,30350,A1,Location 3
0.02,January,33kV,13393,121400,A1,Location 3
0.05,January,33kV,11441,84780,A1,Location 3
0.45,January,33kV,11441,9420,A5,Location 3
1.33,January,33kV,11441,3187,A5,Location 3
0.12,January,33kV,5719,16367,A1,Location 3
0.1,January,33kV,5719,19640,A1,Location 3
0.05,January,33kV,9978,49120,A1,Location 3
0.03,January,33kV,26212,58367,A1,Location 3
0.07,January,33kV,26212,25014,A1,Location 3
0.5,February,LV,1,116,D1,Location 7
0.2,February,11kV,3996,3400,C1,Location 2
0.22,February,11kV,3996,3091,C1,Location 2
0.62,February,11kV,2591,640,C1,Location 2
0.1,February,11kV,4192,10420,C1,Location 2
0.67,February,11kV,404,99,C1,Location 4
0.87,February,11kV,221,53,C1,Location 2
0.87,February,LV,221,53,D1,Location 2
0.35,February,33kV,5847,3334,A1,Location 1
0.58,February,LV,64,9,D1,Location 1
0.17,February,11kV,40,300,C1,Location 2
0.75,February,11kV,8771,1553,C1,Location 1
0.33,February,11kV,7380,6294,B1,Location 1
0.25,February,11kV,820,304,C1,Location 1
0.72,February,11kV,3996,944,C1,Location 2
0.67,February,11kV,5703,3633,C1,Location 7
0.17,February,11kV,740,1212,C1,Location 7
0.42,February,11kV,3727,1160,C1,Location 1
1.92,February,11kV,1157,76,C2,Location 1
0.3,February,11kV,5703,8113,C1,Location 7
0.63,February,11kV,1027,1138,C1,Location 7
0.18,February,11kV,817,3622,C1,Location 7
0.38,February,11kV,3996,1789,C1,Location 2
0.03,February,11kV,1151,54833,C1,Location 2
0.48,February,LV,280,110,D1,Location 6
0.08,February,LV,280,663,D1,Location 6
0.58,February,LV,280,91,D1,Location 6
0.5,February,11kV,1,48,C1,Location 3
0.88,February,11kV,3009,930,B3,Location 2
0.7,February,LV,158,134,D2,Location 5
0.25,February,11kV,4,228,C1,Location 7
0.58,February,11kV,320,59,C1,Location 1
0.33,February,LV,332,215,D2,Location 4
0.58,February,LV,435,109,D1,Location 6
0.02,February,11kV,4948,107300,C1,Location 2
0.22,February,33kV,4948,9755,A1,Location 2
0.75,February,11kV,483,96,C1,Location 6
0.67,February,33kV,4948,3203,A1,Location 2
0.35,February,11kV,6961,3366,C1,Location 2
0.03,February,33kV,14770,109433,A1,Location 2
0.23,February,33kV,5847,5074,A1,Location 1
0.17,February,33kV,6666,11659,A1,Location 3
0.17,February,33kV,10525,9024,A1,Location 3
0.07,February,33kV,9255,27971,A1,Location 3
0.07,February,33kV,29521,35029,A1,Location 3
0.1,February,33kV,19758,74130,A1,Location 4
1.05,February,33kV,2294,1279,A5,Location 4
1.22,February,33kV,9945,2518,A5,Location 4
1.02,February,33kV,17726,4158,A5,Location 4
1.18,February,33kV,11588,5438,A5,Location 6
1.18,February,33kV,18937,4164,A5,Location 6
1.02,February,33kV,5872,2739,A5,Location 2
0.95,February,33kV,11087,3702,A5,Location 2
0.97,February,33kV,29521,2528,A5,Location 3
0.97,February,33kV,9255,2019,A5,Location 3
0.98,February,33kV,12951,4469,A5,Location 6
1.08,February,33kV,22495,5007,A5,Location 7
0.97,February,33kV,16865,3781,A5,Location 7
0.75,February,33kV,19774,7609,A5,Location 4
0.77,February,33kV,10525,1992,A5,Location 3
0.77,February,33kV,6666,2574,A5,Location 3
0.97,February,33kV,20757,3379,A5,Location 7
0.53,February,33kV,20319,5332,A5,Location 1
0.53,February,33kV,13373,9342,A5,Location 6
0.53,February,33kV,10389,7640,A5,Location 6
0.17,February,LV,313,353,D1,Location 6
0.42,February,11kV,3244,1636,B4,Location 1
0.38,February,11kV,1388,1229,C2,Location 2
0.5,February,LV,76,20,D1,Location 6
4.5,February,11kV,13,156,C2,Location 6
0.5,February,LV,76,14,D1,Location 7
0.33,February,11kV,4455,1812,C1,Location 3
0.57,February,11kV,6459,4951,B1,Location 5
4.4,February,11kV,3854,133,C2,Location 7
0.33,February,LV,222,121,D1,Location 2
0.05,February,11kV,4192,20840,C1,Location 2
0.45,February,11kV,1307,429,C2,Location 7
0.33,February,11kV,247,103,C1,Location 5
0.08,February,11kV,10682,31925,C1,Location 5
0.17,February,11kV,6877,6565,C1,Location 1
0.05,February,11kV,5387,18040,C1,Location 1
0.12,February,11kV,6877,9300,C1,Location 1
0.33,February,11kV,9143,3764,C1,Location 1
0.27,February,11kV,5289,2363,C1,Location 7
0.58,February,11kV,2108,1209,C1,Location 7
0.02,February,11kV,4663,86550,C1,Location 1
0.02,February,11kV,8771,58250,C1,Location 1
0.85,February,11kV,3562,1113,B3,Location 7
0.28,February,11kV,2050,1939,B3,Location 6
1.17,February,11kV,2042,352,B3,Location 6
0.25,February,33kV,4948,8584,A1,Location 2
0.88,February,11kV,856,385,C1,Location 5
1.12,February,11kV,3099,1477,C1,Location 5
8.97,February,11kV,11,13,C2,Location 5
8.73,February,11kV,307,35,C2,Location 5
0.17,February,11kV,6961,6929,C1,Location 2
0.42,February,11kV,4918,2974,C1,Location 3
0.37,February,11kV,1227,1303,C2,Location 4
0.22,February,11kV,5416,10850,C2,Location 5
0.33,February,11kV,3186,1494,C1,Location 1
0.75,February,11kV,15,5,C1,Location 6
0.22,February,11kV,3099,7518,C2,Location 5
3.5,February,LV,69,2,D1,Location 2
0.5,February,LV,1,8,D1,Location 5
0.12,February,11kV,9143,10350,C1,Location 1
0.02,February,11kV,7653,51400,C1,Location 1
0.17,February,LV,281,253,D1,Location 2
0.02,February,11kV,6459,141100,C1,Location 5
0.83,February,11kV,3786,722,B1,Location 1
0.52,February,11kV,6728,1962,C1,Location 3
0.47,February,11kV,3930,1598,C1,Location 3
0.05,February,11kV,4828,11200,C1,Location 3
1.22,February,11kV,3930,616,C1,Location 3
0.48,February,11kV,1900,958,C1,Location 3
0.75,February,11kV,147,20,C1,Location 3
0.28,February,11kV,283,168,C1,Location 3
0.1,February,11kV,534,1030,C1,Location 3
0.17,February,11kV,144,135,C1,Location 3
0.63,February,11kV,284,24,C1,Location 3
0.18,February,11kV,4808,6967,B4,Location 7
0.05,February,33kV,20064,65940,A1,Location 1
0.42,February,33kV,4948,5110,A1,Location 2
0.68,February,LV,226,60,D1,Location 3
0.5,February,LV,363,166,D1,Location 2
0.52,February,LV,224,140,D2,Location 5
0.15,February,33kV,29521,16347,A1,Location 3
0.15,February,11kV,2766,6213,C1,Location 3
0.03,February,11kV,6792,60367,C1,Location 1
8.18,February,33kV,4948,262,A1,Location 2
0.4,February,11kV,642,200,C1,Location 5
0.67,February,LV,66,,D1,Location 4
1.18,February,11kV,5587,598,C1,Location 1
0.57,February,11kV,3308,682,C1,Location 1
0.42,February,11kV,9143,2957,C1,Location 1
0.67,February,11kV,5510,1215,C1,Location 1
0.08,February,11kV,3256,7300,C1,Location 1
0.07,February,33kV,11441,60557,A1,Location 3
0.4,February,11kV,3651,873,C1,Location 1
1.13,February,11kV,5010,1347,C2,Location 1
0.5,February,,3786,1198,C1,Location 1
0.27,February,11kV,2051,1244,C1,Location 1
0.18,February,11kV,3651,1939,C1,Location 1
0.25,February,11kV,2051,1344,C1,Location 1
0.08,February,33kV,22495,67600,A1,Location 7
0.15,February,33kV,20319,18840,A1,Location 1
0.42,February,LV,1,321,D1,Location 2
0.63,February,11kV,3009,1298,B1,Location 2
0.28,February,11kV,6961,4207,C1,Location 2
